[2024-08-29T19:07:58.041336+00:00] logger.CRITICAL: test [] []
[2024-08-29T19:08:45.837076+00:00] logger.CRITICAL: test [] []
%date% %level$ test%date% 500 test%date_time% CRITICAL test
%date_time% CRITICAL test
2024-09-16T07:55:10.570967+00:00 INFO Script has finished working []
2024-09-16T08:00:00.524072+00:00 INFO Script has been started []
2024-09-16T08:00:10.053456+00:00 INFO Script has finished working []
2024-09-16T08:05:00.526113+00:00 INFO Script has been started []
2024-09-16T08:05:10.553774+00:00 INFO Script has finished working []
2024-09-16T08:10:00.528855+00:00 INFO Script has been started []
2024-09-16T08:10:10.389784+00:00 INFO Script has finished working []
2024-09-16T08:15:00.530248+00:00 INFO Script has been started []
2024-09-16T08:15:10.094969+00:00 INFO Script has finished working []
2024-09-16T12:15:43.445958+00:00 INFO Script has been started []
2024-09-16T12:15:53.030179+00:00 INFO Script has finished working []
2024-09-16T13:20:00.032345+00:00 | INFO | Script has been started | []
2024-09-16T13:20:09.478102+00:00 | INFO | Script has finished working | []
2024-09-16T13:22:06.094538+00:00 | INFO | Script has been started | []
2024-09-16T13:22:17.318765+00:00 | INFO | Script has finished working | []
2024-09-16T13:22:54.819399+00:00 | INFO | Script has been started | []
2024-09-16T13:23:06.605427+00:00 | INFO | Script has finished working | []
2024-09-16T13:23:10.600732+00:00 | INFO | Script has been started | []
2024-09-16T13:23:20.717994+00:00 | INFO | Script has finished working | []
2024-09-16T13:24:21.657015+00:00 | INFO | Script has been started | []
2024-09-16T13:24:31.618322+00:00 | INFO | Script has finished working | []
2024-09-16T13:25:00.033056+00:00 | INFO | Script has been started | []
2024-09-16T13:25:09.734221+00:00 | INFO | Script has finished working | []
2024-09-16T13:30:00.035090+00:00 | INFO | Script has been started | []
2024-09-16T13:30:17.145756+00:00 | INFO | Script has finished working | []
2024-09-16T13:35:00.036630+00:00 | INFO | Script has been started | []
2024-09-16T13:35:10.040731+00:00 | INFO | Script has finished working | []
2024-09-16T13:40:00.037917+00:00 | INFO | Script has been started | []
2024-09-16T13:40:09.598687+00:00 | INFO | Script has finished working | []
